Date (based on 1st of Month),Open,High,Low,Close,Volume
Sep-2014,465.864014,468.174011,372.23999,386.944,410881000
Oct-2014,387.427002,411.697998,289.29599,338.321014,902994450
Nov-2014,338.649994,457.092987,320.626007,378.046997,659733360
Dec-2014,378.248993,384.037994,304.231995,320.192993,553102310
Jan-2015,320.434998,320.434998,171.509995,217.464005,1098811912
Feb-2015,216.867004,265.610992,212.014999,254.263,711518700
Mar-2015,254.283005,300.044006,236.514999,244.223999,959098300
Apr-2015,244.223007,261.798004,214.873993,236.145004,672338700
May-2015,235.938995,247.804001,228.572998,230.190002,568122600
Jun-2015,230.233002,267.867004,221.296005,263.071991,629780200
Jul-2015,263.345001,314.394012,253.505005,284.649994,999892200
Aug-2015,284.686005,285.714996,199.567001,230.056,905192300
Sep-2015,230.255997,259.182007,225.117004,236.059998,603623900
Oct-2015,236.003998,334.169006,235.615997,314.165985,953279500
Nov-2015,315.005005,495.562012,300.997009,377.321014,2177623396
Dec-2015,377.414001,469.102997,349.464996,430.566986,2096250000
Jan-2016,430.721008,462.93399,354.914001,368.766998,1990880304
Feb-2016,369.350006,448.04599,367.957001,437.696991,1876238692
Mar-2016,437.916992,439.653015,394.035004,416.729004,2332852776
Apr-2016,416.76001,467.964996,415.830994,448.317993,1811475204
May-2016,448.484009,553.960022,437.389008,531.385986,2234432796
Jun-2016,531.106995,777.98999,525.635986,673.336975,4749702740
Jul-2016,672.515015,704.968018,611.833984,624.68103,3454186204
Aug-2016,624.60199,626.119019,531.333984,575.471985,2686220180
Sep-2016,575.546021,628.817993,570.810974,609.734985,2004401400
Oct-2016,609.929016,720.401978,609.479004,700.971985,2115443796
Nov-2016,701.336975,756.237,678.156006,745.690979,2635773092
Dec-2016,746.046021,979.396973,746.046021,963.742981,3556763800
Jan-2017,963.65802,1191.099976,755.755981,970.403015,5143971692
Feb-2017,970.940979,1200.390015,946.690979,1179.969971,4282761200
Mar-2017,1180.040039,1280.310059,903.713013,1071.790039,10872455960
Apr-2017,1071.709961,1347.910034,1061.089966,1347.890015,9757448112
May-2017,1348.300049,2763.709961,1348.300049,2286.409912,34261856864
Jun-2017,2288.330078,2999.909912,2212.959961,2480.840088,44478140928
Jul-2017,2492.600098,2916.139893,1843.030029,2875.340088,32619956992
Aug-2017,2871.300049,4736.049805,2668.590088,4703.390137,63548016640
Sep-2017,4701.759766,4975.040039,2946.620117,4338.709961,55700949056
Oct-2017,4341.049805,6470.430176,4164.049805,6468.399902,58009357952
Nov-2017,6440.970215,11517.40039,5519.009766,10233.59961,1.40735E+11
Dec-2017,10198.59961,20089,9694.650391,14156.40039,4.10336E+11
Jan-2018,14112.2002,17712.40039,9402.290039,10221.09961,4.16248E+11
Feb-2018,10237.29981,11958.5,6048.259766,10397.90039,2.29718E+11
Mar-2018,10385,11704.09961,6683.930176,6973.529785,1.93752E+11
Apr-2018,7003.060059,9745.320313,6526.870117,9240.549805,1.9655E+11
May-2018,9251.469727,9964.5,7090.680176,7494.169922,1.97612E+11
Jun-2018,7500.700195,7754.890137,5826.410156,6404,1.30214E+11
Jul-2018,6411.680176,8424.269531,6136.419922,7780.439941,1.41442E+11
Aug-2018,7769.040039,7769.040039,5971.049805,7037.580078,1.32293E+11
Sep-2018,7044.810059,7388.430176,6197.52002,6625.560059,1.29745E+11
Oct-2018,6619.850098,6965.060059,6236.470215,6317.609863,1.18437E+11
Nov-2018,6318.140137,6552.160156,3585.060059,4017.268555,1.5836E+11
Dec-2018,4024.464355,4309.377441,3191.303467,3742.700439,1.68827E+11
Jan-2019,3746.713379,4109.020996,3400.819824,3457.792725,1.67336E+11
Feb-2019,3460.547119,4210.641602,3391.023682,3854.7854,1.99101E+11
Mar-2019,3853.75708,4296.806641,3733.749756,4105.404297,2.97953E+11
Apr-2019,4105.362305,5642.044434,4096.901367,5350.726563,4.45365E+11
May-2019,5350.914551,9008.314453,5347.645996,8574.501953,7.24158E+11
Jun-2019,8573.839844,13796.48926,7564.48877,10817.15527,6.75855E+11
Jul-2019,10796.93066,13129.5293,9163.134766,10085.62793,6.76416E+11
Aug-2019,10077.44238,12273.82129,9421.629883,9630.664063,5.33985E+11
Sep-2019,9630.592773,10898.76172,7830.758789,8293.868164,4.80545E+11
Oct-2019,8299.720703,10021.74414,7446.98877,9199.584961,5.95205E+11
Nov-2019,9193.992188,9505.051758,6617.166992,7569.629883,6.7692E+11
Dec-2019,7571.616211,7743.431641,6540.049316,7193.599121,6.3379E+11
Jan-2020,7194.89209,9553.125977,6914.996094,9350.529297,8.52872E+11
Feb-2020,9346.357422,10457.62695,8492.932617,8599.508789,1.16338E+12
Mar-2020,8599.758789,9167.695313,4106.980957,6438.644531,1.29044E+12
Apr-2020,6437.319336,9440.650391,6202.373535,8658.553711,1.15613E+12
May-2020,8672.782227,9996.743164,8374.323242,9461.058594,1.28637E+12
Jun-2020,9463.605469,10199.56543,8975.525391,9137.993164,6.50913E+11
Jul-2020,9145.985352,11415.86426,8977.015625,11323.4668,5.45813E+11
Aug-2020,11322.57031,12034.14453,11012.41504,11675.73926,1.79763E+11
